FIPStxt,Stabr,Area_name,POVALL_2019,,,,,,,,,,,,,,,,,,,,,,,,,,
06063,CA,Plumas ,"2,432",,,,,,,,,,,,,,,,,,,,,,,,,,
06065,CA,Riverside ,"274,953",,,,,,,,,,,,,,,,,,,,,,,,,,
06067,CA,Sacramento ,"192,993",,,,,,,,,,,,,,,,,,,,,,,,,,
06069,CA,San Benito ,"6,518",,,,,,,,,,,,,,,,,,,,,,,,,,
06071,CA,San Bernardino ,"284,359",,,,,,,,,,,,,,,,,,,,,,,,,,
06073,CA,San Diego ,"335,034",,,,,,,,,,,,,,,,,,,,,,,,,,
06075,CA,San Francisco ,"82,616",,,,,,,,,,,,,,,,,,,,,,,,,,
06077,CA,San Joaquin ,"101,772",,,,,,,,,,,,,,,,,,,,,,,,,,
06079,CA,San Luis Obispo ,"31,180",,,,,,,,,,,,,,,,,,,,,,,,,,
06081,CA,San Mateo ,"46,328",,,,,,,,,,,,,,,,,,,,,,,,,,
06083,CA,Santa Barbara ,"51,298",,,,,,,,,,,,,,,,,,,,,,,,,,
06085,CA,Santa Clara ,"116,401",,,,,,,,,,,,,,,,,,,,,,,,,,
06087,CA,Santa Cruz ,"27,531",,,,,,,,,,,,,,,,,,,,,,,,,,
06089,CA,Shasta ,"23,508",,,,,,,,,,,,,,,,,,,,,,,,,,
06091,CA,Sierra ,375,,,,,,,,,,,,,,,,,,,,,,,,,,
06093,CA,Siskiyou ,"7,484",,,,,,,,,,,,,,,,,,,,,,,,,,
06095,CA,Solano ,"39,018",,,,,,,,,,,,,,,,,,,,,,,,,,
06097,CA,Sonoma ,"34,758",,,,,,,,,,,,,,,,,,,,,,,,,,
06099,CA,Stanislaus ,"70,741",,,,,,,,,,,,,,,,,,,,,,,,,,
06101,CA,Sutter ,"12,310",,,,,,,,,,,,,,,,,,,,,,,,,,
06103,CA,Tehama ,"10,484",,,,,,,,,,,,,,,,,,,,,,,,,,
06105,CA,Trinity ,"1,986",,,,,,,,,,,,,,,,,,,,,,,,,,
06107,CA,Tulare ,"86,940",,,,,,,,,,,,,,,,,,,,,,,,,,
06109,CA,Tuolumne ,"5,781",,,,,,,,,,,,,,,,,,,,,,,,,,
06111,CA,Ventura ,"68,482",,,,,,,,,,,,,,,,,,,,,,,,,,
06113,CA,Yolo ,"35,608",,,,,,,,,,,,,,,,,,,,,,,,,,
06115,CA,Yuba ,"11,748",,,,,,,,,,,,,,,,,,,,,,,,,,
08001,CO,Adams ,"47,464",,,,,,,,,,,,,,,,,,,,,,,,,,
08003,CO,Alamosa ,"3,019",,,,,,,,,,,,,,,,,,,,,,,,,,
08005,CO,Arapahoe ,"47,072",,,,,,,,,,,,,,,,,,,,,,,,,,
08007,CO,Archuleta ,"1,502",,,,,,,,,,,,,,,,,,,,,,,,,,
08009,CO,Baca ,675,,,,,,,,,,,,,,,,,,,,,,,,,,
08011,CO,Bent ,"1,354",,,,,,,,,,,,,,,,,,,,,,,,,,
08013,CO,Boulder ,"33,965",,,,,,,,,,,,,,,,,,,,,,,,,,
08014,CO,Broomfield ,"2,865",,,,,,,,,,,,,,,,,,,,,,,,,,
08015,CO,Chaffee ,"2,070",,,,,,,,,,,,,,,,,,,,,,,,,,
08017,CO,Cheyenne ,243,,,,,,,,,,,,,,,,,,,,,,,,,,
08019,CO,Clear Creek ,709,,,,,,,,,,,,,,,,,,,,,,,,,,
08021,CO,Conejos ,"1,624",,,,,,,,,,,,,,,,,,,,,,,,,,
08023,CO,Costilla ,955,,,,,,,,,,,,,,,,,,,,,,,,,,
08025,CO,Crowley ,"1,249",,,,,,,,,,,,,,,,,,,,,,,,,,
08027,CO,Custer ,577,,,,,,,,,,,,,,,,,,,,,,,,,,
08029,CO,Delta ,"4,602",,,,,,,,,,,,,,,,,,,,,,,,,,
08031,CO,Denver ,"86,020",,,,,,,,,,,,,,,,,,,,,,,,,,
08033,CO,Dolores ,262,,,,,,,,,,,,,,,,,,,,,,,,,,
08035,CO,Douglas ,"9,622",,,,,,,,,,,,,,,,,,,,,,,,,,
08037,CO,Eagle ,"4,365",,,,,,,,,,,,,,,,,,,,,,,,,,
08039,CO,Elbert ,"1,514",,,,,,,,,,,,,,,,,,,,,,,,,,
08041,CO,El Paso ,"61,692",,,,,,,,,,,,,,,,,,,,,,,,,,
08043,CO,Fremont ,"6,361",,,,,,,,,,,,,,,,,,,,,,,,,,
08045,CO,Garfield ,"5,694",,,,,,,,,,,,,,,,,,,,,,,,,,
08047,CO,Gilpin ,421,,,,,,,,,,,,,,,,,,,,,,,,,,
08049,CO,Grand ,"1,271",,,,,,,,,,,,,,,,,,,,,,,,,,
08051,CO,Gunnison ,"1,920",,,,,,,,,,,,,,,,,,,,,,,,,,
08053,CO,Hinsdale ,72,,,,,,,,,,,,,,,,,,,,,,,,,,
08055,CO,Huerfano ,"1,349",,,,,,,,,,,,,,,,,,,,,,,,,,
08057,CO,Jackson ,175,,,,,,,,,,,,,,,,,,,,,,,,,,
08059,CO,Jefferson ,"41,258",,,,,,,,,,,,,,,,,,,,,,,,,,
08061,CO,Kiowa ,188,,,,,,,,,,,,,,,,,,,,,,,,,,
08063,CO,Kit Carson ,927,,,,,,,,,,,,,,,,,,,,,,,,,,
08065,CO,Lake ,913,,,,,,,,,,,,,,,,,,,,,,,,,,
08067,CO,La Plata ,"6,127",,,,,,,,,,,,,,,,,,,,,,,,,,
08069,CO,Larimer ,"35,894",,,,,,,,,,,,,,,,,,,,,,,,,,
08071,CO,Las Animas ,"2,407",,,,,,,,,,,,,,,,,,,,,,,,,,
08073,CO,Lincoln ,793,,,,,,,,,,,,,,,,,,,,,,,,,,
08075,CO,Logan ,"2,389",,,,,,,,,,,,,,,,,,,,,,,,,,
08077,CO,Mesa ,"16,840",,,,,,,,,,,,,,,,,,,,,,,,,,
08079,CO,Mineral ,72,,,,,,,,,,,,,,,,,,,,,,,,,,
08081,CO,Moffat ,"1,611",,,,,,,,,,,,,,,,,,,,,,,,,,
08083,CO,Montezuma ,"3,856",,,,,,,,,,,,,,,,,,,,,,,,,,
08085,CO,Montrose ,"5,565",,,,,,,,,,,,,,,,,,,,,,,,,,
08087,CO,Morgan ,"3,386",,,,,,,,,,,,,,,,,,,,,,,,,,
08089,CO,Otero ,"4,297",,,,,,,,,,,,,,,,,,,,,,,,,,
08091,CO,Ouray ,342,,,,,,,,,,,,,,,,,,,,,,,,,,
08093,CO,Park ,"1,602",,,,,,,,,,,,,,,,,,,,,,,,,,
08095,CO,Phillips ,435,,,,,,,,,,,,,,,,,,,,,,,,,,
08097,CO,Pitkin ,"1,099",,,,,,,,,,,,,,,,,,,,,,,,,,
08099,CO,Prowers ,"2,159",,,,,,,,,,,,,,,,,,,,,,,,,,
08101,CO,Pueblo ,"29,187",,,,,,,,,,,,,,,,,,,,,,,,,,
08103,CO,Rio Blanco ,624,,,,,,,,,,,,,,,,,,,,,,,,,,
08105,CO,Rio Grande ,"1,591",,,,,,,,,,,,,,,,,,,,,,,,,,
08107,CO,Routt ,"1,820",,,,,,,,,,,,,,,,,,,,,,,,,,
08109,CO,Saguache ,"1,726",,,,,,,,,,,,,,,,,,,,,,,,,,
08111,CO,San Juan ,99,,,,,,,,,,,,,,,,,,,,,,,,,,
08113,CO,San Miguel ,804,,,,,,,,,,,,,,,,,,,,,,,,,,
08115,CO,Sedgwick ,323,,,,,,,,,,,,,,,,,,,,,,,,,,
08117,CO,Summit ,"1,963",,,,,,,,,,,,,,,,,,,,,,,,,,
08119,CO,Teller ,"1,990",,,,,,,,,,,,,,,,,,,,,,,,,,
08121,CO,Washington ,556,,,,,,,,,,,,,,,,,,,,,,,,,,
08123,CO,Weld ,"26,547",,,,,,,,,,,,,,,,,,,,,,,,,,
08125,CO,Yuma ,"1,255",,,,,,,,,,,,,,,,,,,,,,,,,,
09001,CT,Fairfield ,"83,047",,,,,,,,,,,,,,,,,,,,,,,,,,
09003,CT,Hartford ,"93,694",,,,,,,,,,,,,,,,,,,,,,,,,,
09005,CT,Litchfield ,"12,741",,,,,,,,,,,,,,,,,,,,,,,,,,
09007,CT,Middlesex ,"11,024",,,,,,,,,,,,,,,,,,,,,,,,,,
09009,CT,New Haven ,"99,423",,,,,,,,,,,,,,,,,,,,,,,,,,
09011,CT,New London ,"19,739",,,,,,,,,,,,,,,,,,,,,,,,,,
09013,CT,Tolland ,"10,559",,,,,,,,,,,,,,,,,,,,,,,,,,
09015,CT,Windham ,"12,874",,,,,,,,,,,,,,,,,,,,,,,,,,
10001,DE,Kent ,"22,195",,,,,,,,,,,,,,,,,,,,,,,,,,
